Label (Grouping),total,male,female,,
        Under 5 years,"18,358,199","9,394,890","8,963,309",,
        5 to 9 years,"19,770,314","10,110,917","9,659,397",,
        10 to 14 years,"21,220,214","10,892,415","10,327,799",,
        15 to 19 years,"21,785,658","11,167,522","10,618,136",,
        20 to 24 years,"22,446,040","11,488,577","10,957,463",,
        25 to 29 years,"22,007,628","11,245,260","10,762,368",,
        30 to 34 years,"23,225,636","11,785,090","11,440,546",,
        35 to 39 years,"22,335,859","11,322,522","11,013,337",,
        40 to 44 years,"21,711,785","10,939,843","10,771,942",,
        45 to 49 years,"19,640,925","9,853,198","9,787,727",,
        50 to 54 years,"20,835,521","10,447,394","10,388,127",,
        55 to 59 years,"20,553,615","10,163,454","10,390,161",,
        60 to 64 years,"21,573,853","10,492,488","11,081,365",,
        65 to 69 years,"18,559,497","8,798,968","9,760,529",,
        70 to 74 years,"15,338,575","7,149,850","8,188,725",,
        75 to 79 years,"11,005,461","4,901,587","6,103,874",,
        80 to 84 years,"6,758,839","2,861,152","3,897,687",,
        85 years and over,"6,159,943","2,213,087","3,946,856",,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
